delay_minutes,ignored_reminders,completion_time_minutes,risk_label
57,0,384,Low
114,2,382,Medium
279,1,307,High
15,1,116,Low
13,8,106,High
279,6,117,High
142,0,393,Medium
216,5,147,High
172,1,52,High
183,5,314,High
22,7,279,High
193,1,287,High
185,9,103,High
23,10,121,High
40,3,448,Medium
142,7,330,High
83,5,186,High
136,10,336,High
87,8,378,High
236,6,143,High
285,3,355,High
28,3,425,Medium
205,4,38,High
290,5,113,High
202,10,239,High
71,3,386,Medium
134,9,224,High
204,5,117,High
70,8,257,High
24,1,83,Low
216,9,37,High
239,8,133,High
5,10,374,High
274,4,398,High
57,4,227,Medium
1,4,261,Medium
259,1,450,High
259,9,106,High
82,8,493,High
271,0,311,High
9,1,480,Low
157,3,34,High
290,1,48,High
35,8,397,High
243,8,89,High
216,3,480,High
102,4,209,Medium
191,7,465,High
61,3,120,Medium
10,9,288,High
112,0,41,Medium
30,3,39,Medium
169,1,268,High
248,3,281,High
292,9,247,High
242,6,102,High
220,5,221,High
27,10,339,High
50,0,211,Low
55,3,103,Medium
229,2,221,High
236,3,452,High
226,8,55,High
276,0,52,High
121,2,213,Medium
109,6,467,High
194,0,204,High
232,4,221,High
284,10,372,High
97,4,116,Medium
296,8,36,High
29,0,304,Low
271,2,34,High
41,2,40,Medium
120,6,66,High
291,3,301,High
41,6,341,High
267,5,483,High
160,3,140,High
153,7,166,High
37,0,239,Low
288,1,42,High
259,4,72,High
35,3,194,Medium
224,8,365,High
270,0,346,High
153,10,58,High
68,4,64,Medium
283,2,144,High
107,5,109,High
135,8,255,High
26,1,329,Low
141,0,6,Medium
66,10,139,High
226,8,366,High
4,1,43,Low
76,8,23,High
298,8,80,High
21,4,191,Medium
20,5,112,High
52,5,404,High
208,9,388,High
121,2,414,Medium
211,0,96,High
170,6,415,High
127,4,86,Medium
55,6,451,Medium
113,3,423,Medium
179,4,425,High
116,3,17,Medium
204,5,147,High
142,5,333,High
274,5,485,Medium
91,9,497,High
19,1,310,Low
160,6,315,High
59,6,465,High
130,0,367,Medium
266,8,356,High
100,5,225,High
169,9,165,High
63,4,264,Medium
209,5,211,High
283,2,103,High
194,10,388,High
291,4,212,High
0,4,151,Medium
296,9,340,High
226,7,350,High
242,2,342,High
263,10,329,High
47,3,349,Medium
101,2,17,Medium
37,7,217,High
294,3,372,High
253,6,129,High
2,1,403,Low
90,8,242,High
127,1,238,Medium
237,10,276,High
162,7,318,High
258,6,430,High
228,2,385,High
230,4,389,High
141,8,253,High
140,7,44,High
120,4,176,Medium
276,1,75,High
196,2,366,High
212,6,174,High
212,0,110,High
199,9,489,High
294,6,249,Medium
152,6,441,High
214,8,387,High
112,7,117,High
248,0,204,High
207,2,435,High
65,9,278,Medium
288,10,18,High
219,2,448,High
25,4,199,Medium
232,5,177,High
194,4,390,High
